"sample_package_id","age","gender","job","cover_code","price"
1,45,2,1,"00000000000000001p0000",5000
2,55,1,1,"00000000000000001p0000",5000
3,45,2,1,"00000000000000001p0000",5000
4,45,1,1,"00000000000000001p0000",5000
5,55,2,1,"00000000000000001p0000",5000
6,35,2,1,"00000000000000001p0000",5000
7,55,2,1,"00000000000000001p0000",5000
8,55,1,1,"00000000000000001p0000",5000
9,35,2,1,"00000000000000001p0000",5000
10,35,1,1,"00000000000000001p0000",5000
11,25,2,1,"00000000000000001p0000",5291
12,25,1,1,"00000000000000001p0000",5518
13,25,1,1,1100000000000000000000,8924
14,25,2,1,1100000000000000000000,9635
15,25,1,1,1100000000000000000000,9750
16,"05",1,1,"113f3f3f00001f00000000",15269
17,15,1,1,"0000000000000015000000",15980
18,45,1,1,1100000000000000000000,16106
19,45,1,1,1100000000000000000000,17313
20,25,1,1,"0000000000000015000000",18420
21,45,2,1,1100000000000000000000,19477
22,45,2,1,1100000000000000000000,19824
23,25,2,1,"0000003t00000000000000",20000
24,45,1,1,"0000001t00000000000000",20000
25,45,2,1,"0000001t00000000000000",20000
26,25,2,1,"0000001t00000000000000",20000
27,25,2,1,"001t001t00000000000000",20000
28,25,2,1,"001t000000000000000000",20000
29,25,2,1,"00001t1t00000000000000",20000
30,25,2,1,"00001t0000000000000000",20000
31,25,2,1,"001t1t1t00000000000000",20000
32,25,2,1,"001t1t0000000000000000",20000
33,25,2,1,"00001t0000000000000000",20000
34,25,2,1,"001t1t1t00000000000000",20000
35,25,2,1,"0000003t00000000000000",20000
36,25,2,1,"0000001t00000000000000",20000
37,25,2,1,"001t001t00000000000000",20000
38,25,2,1,"00001t1t00000000000000",20000
39,25,2,1,"001t000000000000000000",20000
40,45,2,1,"0000001t00000000000000",20000
41,45,2,1,"001t001t00000000000000",20000
42,45,1,1,"0000001t00000000000000",20000
43,45,2,1,"001t000000000000000000",20000
44,25,1,1,"001t001t00000000000000",20000
45,25,1,1,"001t000000000000000000",20000
46,25,1,1,"0000001t00000000000000",20000
47,"05",1,1,"113f3f3f00001f00000000",20000
48,25,1,1,"001t001t00000000000000",20000
49,25,1,1,"0000001t00000000000000",20000
50,25,1,1,"001t000000000000000000",20000
51,45,2,1,"0000003t00000000000000",20022
52,15,2,1,"0000000000000015000000",20480
53,45,2,1,"001t000000000000000000",20618
54,15,1,1,"0000000000000015000000",20900
55,25,2,1,"0000000000000015000000",21220
56,45,2,1,"001t001t00000000000000",22108
57,45,2,1,"00001t0000000000000000",22612
58,45,2,1,"001t1t0000000000000000",22612
59,25,1,1,"00001t0000000000000000",22948
60,25,1,1,"001t1t0000000000000000",22948
61,25,1,1,"00001t0000000000000000",22948
62,45,2,1,"00001t1t00000000000000",24032
63,45,2,1,"001t1t1t00000000000000",24032
64,45,1,1,"001t000000000000000000",24170
65,25,2,1,"00003t0000000000000000",24648
66,45,1,1,"00001t0000000000000000",25000
67,45,1,1,"00001t1t00000000000000",25000
68,25,1,1,"001t1t1t00000000000000",25000
69,45,1,1,"001t1t0000000000000000",25000
70,45,2,1,"00003t0000000000000000",25000
71,45,1,1,"001t001t00000000000000",25000
72,45,1,1,"0000003t00000000000000",25000
73,45,1,1,"00001t0000000000000000",25000
74,"05",1,1,"113f3f3f00001f00000000",25000
75,25,2,1,"00003t0000000000000000",25000
76,45,2,1,"001t1t1t00000000000000",25000
77,45,1,1,"001t000000000000000000",25000
78,25,1,1,"0000003t00000000000000",25000
79,25,1,1,"00003t0000000000000000",25000
80,25,1,1,"0000003t00000000000000",25000
81,25,1,1,"001t1t1t00000000000000",25000
82,25,1,1,"00001t1t00000000000000",25000
83,45,2,1,"00003t0000000000000000",25000
84,25,2,1,"003t000000000000000000",25000
85,25,2,1,"00003t3t00000000000000",25000
86,15,2,1,"0000000000000015000000",25060
87,45,1,1,"001t001t00000000000000",25240
88,25,2,1,"003t003t00000000000000",25328
89,35,1,1,"0000000000000015000000",25590
90,25,1,1,"00001t1t00000000000000",25768
91,35,2,1,"0000000000000015000000",25950
92,25,2,1,"000000001n000000000000",26000
93,25,1,1,"0000000000000015000000",26350
94,25,2,1,"0000000000000015000000",26640
95,25,1,1,"003t000000000000000000",26750
96,25,2,1,"00003t3t00000000000000",27408
97,25,2,1,"003t000000000000000000",28200
98,35,2,1,"0000000000000015000000",28850
99,45,2,1,"003t000000000000000000",29043
100,25,2,1,"003t3t0000000000000000",30000
101,25,1,1,"003t003t00000000000000",30000
102,25,2,1,"003t003t00000000000000",30000
103,25,1,1,"003t003t00000000000000",30000
104,45,1,1,"001t1t0000000000000000",30000
105,45,2,1,"00003t3t00000000000000",30000
106,25,2,1,"003t3t0000000000000000",30000
107,45,1,1,"00003t0000000000000000",30000
